Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
Data Science Manager,Bellfast Management,3.8,,5-7 Yrs,Coimbatore,Not disclosed,"Deep learning, machine learning, Power BI like Tableau Minimum of 5+ years of experienc...","['NoSQLStatistical', 'analysisRDBMSMISAnalyticalMachine', 'learningBusiness', 'intelligenceEconometrics']"
Data Science Manager,Digilytics,3.9,,7-10 Yrs,Gurgaon/Gurugram,Not disclosed,"Must know how to deploy modelsExperience with deep learning, ML, NLP Strong R and Pytho...","['DjangoMachine', 'learningHTMLHTTPmicrosoftAnalyticsFinancial', 'servicesSQL']"
Data Science - Trainer,,,,3-9 Yrs,Gurgaon/Gurugram,Not disclosed,This role is best suited for: - Person with 3+ years experience of delivering data scie...,"['Trainingdeep', 'learningdata', 'scienceMachine', 'learningdata', 'visualizationBusiness', 'intelligenceAnalyticsPython']"
Data Science Professional,Softweb Solutions,3.2,,2-6 Yrs,Ahmedabad,Not disclosed,"AI, ML, Deep learning, Computer Vision, NLP Skills. Python/R Scripting Experience(M...","['Computer', 'visiondeep', 'learningPDFdata', 'scienceGCPCloudDeploymentJPEG']"
Data Science Consultants,,,,2-7 Yrs,Hyderabad/Secunderabad,Not disclosed,Critically evaluate information gathered from multiple sources. Create written c...,"['RDBMSDatabase', 'designMySQLStored', 'proceduresTest', 'casesOracleBusiness', 'intelligenceInformation', 'technology']"
Data Science Lead,,,,3-5 Yrs,"Hyderabad/Secunderabad, Ahmedabad",Not disclosed,Skills & Experience Required : - 8+ years of work experience in advanced analytic solut...,"['IT', 'servicesdata', 'scienceWeb', 'applicationMachine', 'learningAgileScrumSOWOpen', 'source']"
Data Science Manager,,,,10-13 Yrs,Pune,Not disclosed,5+ years data science and analytics experienceSolid experience with common data science...,"['Analytical', 'skillsNoSQLdata', 'scienceProject', 'managementBusiness', 'analyticsAnalyticalcloud', 'storagedata', 'visualization']"
Data Science Professional,Pranathi Software Services,3.6,,2-3 Yrs,Hyderabad/Secunderabad,Not disclosed,"Experience with building predictive statistical, behavioral or other models via supervi...","['Computer', 'visionPrototypeCodingQuality', 'systemsMySQLDebuggingMachine', 'learningPredictive', 'modeling']"
Lead Data Science Specialist,Talent Socio,3.6,,3-7 Yrs,Hyderabad/Secunderabad,Not disclosed,"Bachelor s degree in Science, Mathematics, Economics, Computer Science, Information Tec...","['Automationdata', 'scienceBusiness', 'analyticsConsultingManagement', 'consultingRisk', 'managementIT', 'operationsInformation', 'technology']"
Data Science Manager-R&D,Flytxt,4.2,,5-10 Yrs,Trivandrum/Thiruvananthapuram,Not disclosed,Applied research experience of at least 2 5 years on real-world problems using AIMachin...,"['Computer', 'sciencedeep', 'learningsparkArtificial', 'IntelligenceIntellectual', 'propertyMachine', 'learningResearchOpen', 'source']"
Data Science Manager,Talent Socio,3.6,,8-9 Yrs,Hyderabad/Secunderabad,Not disclosed,. Must have developed custom data models and algorithms to apply to data sets . Should ...,"['IT', 'servicesText', 'miningData', 'analysisRFSimulationNetwork', 'analysisData', 'miningLicensing']"
Risk Advisory Data Analytics Analyst,KPMG Global Services Private Limited,3.8,,1-3 Yrs,Bangalore/Bengaluru,Not disclosed,Work on BI tools and data handling activities. Technical Skills & Experience Have a go...,"['Computer', 'sciencedata', 'sciencepower', 'biData', 'analyticsAdvanced', 'ExcelData', 'AnalystIndividual', 'Contributorinternational', 'clients']"
